date,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E.1,Type 2 Departments - Single Specialty.1,Type 3 Departments - Other A&E/Minor Injury Unit.1,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3)
2020-05-01,741249.0,23233.0,285102.0,1049584.0,71894.0,57.0,910.0,72861.0,0.9350872425820419,0.9115850471565272,0.9975525976814084,0.9968183153154413
2020-06-01,806396.0,26456.0,332283.0,1165135.0,89368.0,152.0,1191.0,90711.0,0.9277690098945253,0.9002326505642111,0.9942874323511726,0.9964285071699742
2020-07-01,875764.0,27437.0,397860.0,1301061.0,111270.0,163.0,1845.0,113278.0,0.9199074620723886,0.8872683210507439,0.9940942028985508,0.9953840957706308
2020-08-01,876520.0,26962.0,464218.0,1367700.0,162951.0,313.0,2835.0,166099.0,0.8917074531930195,0.8432366078514937,0.9885242896425298,0.993930025072101
2020-09-01,837766.0,27683.0,454491.0,1319940.0,188521.0,287.0,3286.0,192094.0,0.8729565605006236,0.8163077189908866,0.9897390060779406,0.9928218324642785
2020-10-01,755357.0,26530.0,416340.0,1198227.0,218178.0,317.0,2507.0,221002.0,0.8442802394821414,0.7758909541002634,0.9881923492382761,0.9940145208154768
2020-11-01,696824.0,25598.0,381915.0,1104337.0,210250.0,366.0,2137.0,212753.0,0.8384673788427518,0.7682107523752196,0.9859035587736866,0.994435649339152
2020-12-01,657248.0,24012.0,368589.0,1049849.0,255051.0,261.0,2542.0,257854.0,0.8028191416552535,0.7204304729041685,0.989247311827957,0.9931506664762577
2021-01-01,578346.0,20905.0,313524.0,912775.0,247232.0,253.0,2326.0,249811.0,0.7851247133545389,0.7005346557199925,0.9880423480480197,0.992635744815577
2021-02-01,613071.0,22505.0,316139.0,951715.0,179397.0,357.0,2581.0,182335.0,0.8392178475375865,0.773622404942534,0.9843845682792407,0.9919019829317269
2021-03-01,815451.0,28309.0,450988.0,1294748.0,203015.0,559.0,4755.0,208329.0,0.8613983182498302,0.8006659034273113,0.9806359983372592,0.9895664881303717
2021-04-01,868744.0,28225.0,519024.0,1415993.0,234255.0,461.0,8205.0,242921.0,0.8535662487627448,0.787619934378907,0.9839294429338353,0.9844375024894306
2021-05-01,933355.0,31273.0,579959.0,1544587.0,289681.0,474.0,10753.0,300908.0,0.8369499781901333,0.7631459744439247,0.9850694553816108,0.9817965438318503
